Benchmark,Benchmark Version,Hardware Vendor,System,Nodes,Form Factor,Test Method,Result,ssj_ops @ 100% of target load,ssj_ops @ 90% of target load,ssj_ops @ 80% of target load,ssj_ops @ 70% of target load,ssj_ops @ 60% of target load,ssj_ops @ 50% of target load,ssj_ops @ 40% of target load,ssj_ops @ 30% of target load,ssj_ops @ 20% of target load,ssj_ops @ 10% of target load,Average watts @ 100% of target load,Average watts @ 90% of target load,Average watts @ 80% of target load,Average watts @ 70% of target load,Average watts @ 60% of target load,Average watts @ 50% of target load,Average watts @ 40% of target load,Average watts @ 30% of target load,Average watts @ 20% of target load,Average watts@10% of target load,Average watts @ active idle,Performance/power @ 100% of target load,Performance/power @ 90% of target load,Performance/power @ 80% of target load,Performance/power @ 70% of target load,Performance/power @ 60% of target load,Performance/power @ 50% of target load,Performance/power @ 40% of target load,Performance/power @ 30% of target load,Performance/power @ 20% of target load,Performance/power @ 10% of target load,# Cores,# Chips,# Cores Per Chip,# Threads Per Core,Processor,Processor MHz,Processor Characteristics,CPU(s) Orderable,1st Level Cache,2nd Level Cache,3rd Level Cache,Other Cache,Memory (GB),Operating System,Operating System Version,File System,DIMMS,Memory Description,Network Controller,NICs Connected,NICs enabled (firmware),NICs enabled (OS),Network speed,JVM Vendor,JVM Version,JVM Instances,JVM Affinity,JVM Bitness,JVM Options,Initial Heap,Max Heap,System Source,System Designation,Power Provisioning,Disk Drive,Disk Controller,Power Management,Power Supply Details,Power Supplies Installed,Power Supply Rating (watts),HW Avail,SW Avail,License,Tested By,Test Sponsor,Test Date,Published,Updated,Disclosure URL,,
power_ssj2008,1.1,ASUSTeK Computer Inc.,ASUS RS160-E5 (Intel Xeon L5430 Processor 2.66 Ghz),1,--,Single Node,1020,278927,252327,226095,196907,168211,140335,112784,84723,56512,28193,173,168,163,157,150,142,133,123,113,102,89.4,1615,1498,1384,1252,1120,987,847,687,501,278,8,2,4,1,Intel Xeon L5430,2666,2.66 Ghz 2 x 6MB L2 Cache 1333 Mhz System Bus,1 2 chips,32 KB I + 32 KB D on chip per core,12 MB I+D on chip per chip 6 MB shared / 2 cores,None,None,8.00,Windows Server 2003 R2 Enterprise x64 Edition,Service Pack 2 Build 3790,NTFS,2 x 4096 MB,DDR2-667 CL5 DIMM, Slots A1 and B1 are populated,2,1,2,2,1000,Oracle Corporation,BEA JRockit(R),4,start /affinity,64,"-Xms1700m -Xns1300m -Xmx1700m -XXaggressive -XXthroughputcompaction -XXlazyunlocking -XXcallprofiling -Xgc:genpar -XXgcthreads=2 -XXtlasize:min=4k,preferred=512k",1700,1700,Single Supplier,Server,Line-powered,"1 x Hitachi (3.5""  SATA  80 GB  7.2K RPM)",Integrated ICH-9R SATA controller,Enabled (Server Balanced Power and Performance),FSP FSP460-701UG,1,460,2008/10/01,2008/09/01,9016,ASUSTeK Company Inc.,ASUSTeK Company Inc.,2008/10/01,2008/11/01,Apr-2009,http://www.spec.org/power_ssj2008/results/res2008q4/power_ssj2008-20081103-00093.html,<A HREF=
power_ssj2008,1.1,ASUSTeK Computer Inc.,ASUS RS160-E5 (Intel Xeon L5430 Processor 2.66 Ghz),1,--,Single Node,1020,278927,252327,226095,196907,168211,140335,112784,84723,56512,28193,173,168,163,157,150,142,133,123,113,102,89.4,1615,1498,1384,1252,1120,987,847,687,501,278,8,2,4,1,Intel Xeon L5430,2666,2.66 Ghz 2 x 6MB L2 Cache 1333 Mhz System Bus,1 2 chips,32 KB I + 32 KB D on chip per core,12 MB I+D on chip per chip 6 MB shared / 2 cores,None,None,8.00,Windows Server 2003 R2 Enterprise x64 Edition,Service Pack 2 Build 3790,NTFS,2 x 4096 MB,DDR2-667 CL5 DIMM, Slots A1 and B1 are populated,2,1,2,2,1000,Oracle Corporation,BEA JRockit(R),4,start /affinity,64,"-Xms1700m -Xns1300m -Xmx1700m -XXaggressive -XXthroughputcompaction -XXlazyunlocking -XXcallprofiling -Xgc:genpar -XXgcthreads=2 -XXtlasize:min=4k,preferred=512k",1700,1700,Single Supplier,Server,Line-powered,"1 x Hitachi (3.5""  SATA  80 GB  7.2K RPM)",Integrated ICH-9R SATA controller,Enabled (Server Balanced Power and Performance),FSP FSP460-701UG,1,460,2008/10/01,2008/09/01,9016,ASUSTeK Company Inc.,ASUSTeK Company Inc.,2008/10/01,2008/11/01,Apr-2009,http://www.spec.org/power_ssj2008/results/res2008q4/power_ssj2008-20081103-00093.html,<A HREF=
power_ssj2008,1.1,ASUSTeK Computer Inc.,ASUS RS160-E5 (Intel Xeon L5430 Processor 2.66 Ghz),1,--,Single Node,1020,278927,252327,226095,196907,168211,140335,112784,84723,56512,28193,173,168,163,157,150,142,133,123,113,102,89.4,1615,1498,1384,1252,1120,987,847,687,501,278,8,2,4,1,Intel Xeon L5430,2666,2.66 Ghz 2 x 6MB L2 Cache 1333 Mhz System Bus,1 2 chips,32 KB I + 32 KB D on chip per core,12 MB I+D on chip per chip 6 MB shared / 2 cores,None,None,8.00,Windows Server 2003 R2 Enterprise x64 Edition,Service Pack 2 Build 3790,NTFS,2 x 4096 MB,DDR2-667 CL5 DIMM, Slots A1 and B1 are populated,2,1,2,2,1000,Oracle Corporation,BEA JRockit(R),4,start /affinity,64,"-Xms1700m -Xns1300m -Xmx1700m -XXaggressive -XXthroughputcompaction -XXlazyunlocking -XXcallprofiling -Xgc:genpar -XXgcthreads=2 -XXtlasize:min=4k,preferred=512k",1700,1700,Single Supplier,Server,Line-powered,"1 x Hitachi (3.5""  SATA  80 GB  7.2K RPM)",Integrated ICH-9R SATA controller,Enabled (Server Balanced Power and Performance),FSP FSP460-701UG,1,460,2008/10/01,2008/09/01,9016,ASUSTeK Company Inc.,ASUSTeK Company Inc.,2008/10/01,2008/11/01,Apr-2009,http://www.spec.org/power_ssj2008/results/res2008q4/power_ssj2008-20081103-00093.html,<A HREF=
power_ssj2008,1.1,ASUSTeK Computer Inc.,ASUS RS160-E5 (Intel Xeon L5430 Processor 2.66 Ghz),1,--,Single Node,1020,278927,252327,226095,196907,168211,140335,112784,84723,56512,28193,173,168,163,157,150,142,133,123,113,102,89.4,1615,1498,1384,1252,1120,987,847,687,501,278,8,2,4,1,Intel Xeon L5430,2666,2.66 Ghz 2 x 6MB L2 Cache 1333 Mhz System Bus,1 2 chips,32 KB I + 32 KB D on chip per core,12 MB I+D on chip per chip 6 MB shared / 2 cores,None,None,8.00,Windows Server 2003 R2 Enterprise x64 Edition,Service Pack 2 Build 3790,NTFS,2 x 4096 MB,DDR2-667 CL5 DIMM, Slots A1 and B1 are populated,2,1,2,2,1000,Oracle Corporation,BEA JRockit(R),4,start /affinity,64,"-Xms1700m -Xns1300m -Xmx1700m -XXaggressive -XXthroughputcompaction -XXlazyunlocking -XXcallprofiling -Xgc:genpar -XXgcthreads=2 -XXtlasize:min=4k,preferred=512k",1700,1700,Single Supplier,Server,Line-powered,"1 x Hitachi (3.5""  SATA  80 GB  7.2K RPM)",Integrated ICH-9R SATA controller,Enabled (Server Balanced Power and Performance),FSP FSP460-701UG,1,460,2008/10/01,2008/09/01,9016,ASUSTeK Company Inc.,ASUSTeK Company Inc.,2008/10/01,2008/11/01,Apr-2009,http://www.spec.org/power_ssj2008/results/res2008q4/power_ssj2008-20081103-00093.html,<A HREF=
power_ssj2008,1.1,ASUSTeK Computer Inc.,ASUS RS160-E5 (Intel Xeon L5430 Processor 2.66 Ghz),1,--,Single Node,1020,278927,252327,226095,196907,168211,140335,112784,84723,56512,28193,173,168,163,157,150,142,133,123,113,102,89.4,1615,1498,1384,1252,1120,987,847,687,501,278,8,2,4,1,Intel Xeon L5430,2666,2.66 Ghz 2 x 6MB L2 Cache 1333 Mhz System Bus,1 2 chips,32 KB I + 32 KB D on chip per core,12 MB I+D on chip per chip 6 MB shared / 2 cores,None,None,8.00,Windows Server 2003 R2 Enterprise x64 Edition,Service Pack 2 Build 3790,NTFS,2 x 4096 MB,DDR2-667 CL5 DIMM, Slots A1 and B1 are populated,2,1,2,2,1000,Oracle Corporation,BEA JRockit(R),4,start /affinity,64,"-Xms1700m -Xns1300m -Xmx1700m -XXaggressive -XXthroughputcompaction -XXlazyunlocking -XXcallprofiling -Xgc:genpar -XXgcthreads=2 -XXtlasize:min=4k,preferred=512k",1700,1700,Single Supplier,Server,Line-powered,"1 x Hitachi (3.5""  SATA  80 GB  7.2K RPM)",Integrated ICH-9R SATA controller,Enabled (Server Balanced Power and Performance),FSP FSP460-701UG,1,460,2008/10/01,2008/09/01,9016,ASUSTeK Company Inc.,ASUSTeK Company Inc.,2008/10/01,2008/11/01,Apr-2009,http://www.spec.org/power_ssj2008/results/res2008q4/power_ssj2008-20081103-00093.html,<A HREF=
power_ssj2008,1.1,ASUSTeK Computer Inc.,ASUS RS160-E5 (Intel Xeon L5430 Processor 2.66 Ghz),1,--,Single Node,1020,278927,252327,226095,196907,168211,140335,112784,84723,56512,28193,173,168,163,157,150,142,133,123,113,102,89.4,1615,1498,1384,1252,1120,987,847,687,501,278,8,2,4,1,Intel Xeon L5430,2666,2.66 Ghz 2 x 6MB L2 Cache 1333 Mhz System Bus,1 2 chips,32 KB I + 32 KB D on chip per core,12 MB I+D on chip per chip 6 MB shared / 2 cores,None,None,8.00,Windows Server 2003 R2 Enterprise x64 Edition,Service Pack 2 Build 3790,NTFS,2 x 4096 MB,DDR2-667 CL5 DIMM, Slots A1 and B1 are populated,2,1,2,2,1000,Oracle Corporation,BEA JRockit(R),4,start /affinity,64,"-Xms1700m -Xns1300m -Xmx1700m -XXaggressive -XXthroughputcompaction -XXlazyunlocking -XXcallprofiling -Xgc:genpar -XXgcthreads=2 -XXtlasize:min=4k,preferred=512k",1700,1700,Single Supplier,Server,Line-powered,"1 x Hitachi (3.5""  SATA  80 GB  7.2K RPM)",Integrated ICH-9R SATA controller,Enabled (Server Balanced Power and Performance),FSP FSP460-701UG,1,460,2008/10/01,2008/09/01,9016,ASUSTeK Company Inc.,ASUSTeK Company Inc.,2008/10/01,2008/11/01,Apr-2009,http://www.spec.org/power_ssj2008/results/res2008q4/power_ssj2008-20081103-00093.html,<A HREF=
power_ssj2008,1.1,ASUSTeK Computer Inc.,ASUS RS160-E5 (Intel Xeon L5430 Processor 2.66 Ghz),1,--,Single Node,1020,278927,252327,226095,196907,168211,140335,112784,84723,56512,28193,173,168,163,157,150,142,133,123,113,102,89.4,1615,1498,1384,1252,1120,987,847,687,501,278,8,2,4,1,Intel Xeon L5430,2666,2.66 Ghz 2 x 6MB L2 Cache 1333 Mhz System Bus,1 2 chips,32 KB I + 32 KB D on chip per core,12 MB I+D on chip per chip 6 MB shared / 2 cores,None,None,8.00,Windows Server 2003 R2 Enterprise x64 Edition,Service Pack 2 Build 3790,NTFS,2 x 4096 MB,DDR2-667 CL5 DIMM, Slots A1 and B1 are populated,2,1,2,2,1000,Oracle Corporation,BEA JRockit(R),4,start /affinity,64,"-Xms1700m -Xns1300m -Xmx1700m -XXaggressive -XXthroughputcompaction -XXlazyunlocking -XXcallprofiling -Xgc:genpar -XXgcthreads=2 -XXtlasize:min=4k,preferred=512k",1700,1700,Single Supplier,Server,Line-powered,"1 x Hitachi (3.5""  SATA  80 GB  7.2K RPM)",Integrated ICH-9R SATA controller,Enabled (Server Balanced Power and Performance),FSP FSP460-701UG,1,460,2008/10/01,2008/09/01,9016,ASUSTeK Company Inc.,ASUSTeK Company Inc.,2008/10/01,2008/11/01,Apr-2009,http://www.spec.org/power_ssj2008/results/res2008q4/power_ssj2008-20081103-00093.html,<A HREF=
power_ssj2008,1.1,ASUSTeK Computer Inc.,ASUS RS160-E5 (Intel Xeon L5430 Processor 2.66 Ghz),1,--,Single Node,1020,278927,252327,226095,196907,168211,140335,112784,84723,56512,28193,173,168,163,157,150,142,133,123,113,102,89.4,1615,1498,1384,1252,1120,987,847,687,501,278,8,2,4,1,Intel Xeon L5430,2666,2.66 Ghz 2 x 6MB L2 Cache 1333 Mhz System Bus,1 2 chips,32 KB I + 32 KB D on chip per core,12 MB I+D on chip per chip 6 MB shared / 2 cores,None,None,8.00,Windows Server 2003 R2 Enterprise x64 Edition,Service Pack 2 Build 3790,NTFS,2 x 4096 MB,DDR2-667 CL5 DIMM, Slots A1 and B1 are populated,2,1,2,2,1000,Oracle Corporation,BEA JRockit(R),4,start /affinity,64,"-Xms1700m -Xns1300m -Xmx1700m -XXaggressive -XXthroughputcompaction -XXlazyunlocking -XXcallprofiling -Xgc:genpar -XXgcthreads=2 -XXtlasize:min=4k,preferred=512k",1700,1700,Single Supplier,Server,Line-powered,"1 x Hitachi (3.5""  SATA  80 GB  7.2K RPM)",Integrated ICH-9R SATA controller,Enabled (Server Balanced Power and Performance),FSP FSP460-701UG,1,460,2008/10/01,2008/09/01,9016,ASUSTeK Company Inc.,ASUSTeK Company Inc.,2008/10/01,2008/11/01,Apr-2009,http://www.spec.org/power_ssj2008/results/res2008q4/power_ssj2008-20081103-00093.html,<A HREF=
power_ssj2008,1.1,ASUSTeK Computer Inc.,ASUS RS160-E5 (Intel Xeon L5430 Processor 2.66 Ghz),1,--,Single Node,1020,278927,252327,226095,196907,168211,140335,112784,84723,56512,28193,173,168,163,157,150,142,133,123,113,102,89.4,1615,1498,1384,1252,1120,987,847,687,501,278,8,2,4,1,Intel Xeon L5430,2666,2.66 Ghz 2 x 6MB L2 Cache 1333 Mhz System Bus,1 2 chips,32 KB I + 32 KB D on chip per core,12 MB I+D on chip per chip 6 MB shared / 2 cores,None,None,8.00,Windows Server 2003 R2 Enterprise x64 Edition,Service Pack 2 Build 3790,NTFS,2 x 4096 MB,DDR2-667 CL5 DIMM, Slots A1 and B1 are populated,2,1,2,2,1000,Oracle Corporation,BEA JRockit(R),4,start /affinity,64,"-Xms1700m -Xns1300m -Xmx1700m -XXaggressive -XXthroughputcompaction -XXlazyunlocking -XXcallprofiling -Xgc:genpar -XXgcthreads=2 -XXtlasize:min=4k,preferred=512k",1700,1700,Single Supplier,Server,Line-powered,"1 x Hitachi (3.5""  SATA  80 GB  7.2K RPM)",Integrated ICH-9R SATA controller,Enabled (Server Balanced Power and Performance),FSP FSP460-701UG,1,460,2008/10/01,2008/09/01,9016,ASUSTeK Company Inc.,ASUSTeK Company Inc.,2008/10/01,2008/11/01,Apr-2009,http://www.spec.org/power_ssj2008/results/res2008q4/power_ssj2008-20081103-00093.html,<A HREF=
power_ssj2008,1.1,ASUSTeK Computer Inc.,ASUS RS160-E5 (Intel Xeon L5430 Processor 2.66 Ghz),1,--,Single Node,1020,278927,252327,226095,196907,168211,140335,112784,84723,56512,28193,173,168,163,157,150,142,133,123,113,102,89.4,1615,1498,1384,1252,1120,987,847,687,501,278,8,2,4,1,Intel Xeon L5430,2666,2.66 Ghz 2 x 6MB L2 Cache 1333 Mhz System Bus,1 2 chips,32 KB I + 32 KB D on chip per core,12 MB I+D on chip per chip 6 MB shared / 2 cores,None,None,8.00,Windows Server 2003 R2 Enterprise x64 Edition,Service Pack 2 Build 3790,NTFS,2 x 4096 MB,DDR2-667 CL5 DIMM, Slots A1 and B1 are populated,2,1,2,2,1000,Oracle Corporation,BEA JRockit(R),4,start /affinity,64,"-Xms1700m -Xns1300m -Xmx1700m -XXaggressive -XXthroughputcompaction -XXlazyunlocking -XXcallprofiling -Xgc:genpar -XXgcthreads=2 -XXtlasize:min=4k,preferred=512k",1700,1700,Single Supplier,Server,Line-powered,"1 x Hitachi (3.5""  SATA  80 GB  7.2K RPM)",Integrated ICH-9R SATA controller,Enabled (Server Balanced Power and Performance),FSP FSP460-701UG,1,460,2008/10/01,2008/09/01,9016,ASUSTeK Company Inc.,ASUSTeK Company Inc.,2008/10/01,2008/11/01,Apr-2009,http://www.spec.org/power_ssj2008/results/res2008q4/power_ssj2008-20081103-00093.html,<A HREF=
power_ssj2008,1.1,ASUSTeK Computer Inc.,ASUS RS160-E5 (Intel Xeon L5430 Processor 2.66 Ghz),1,--,Single Node,1020,278927,252327,226095,196907,168211,140335,112784,84723,56512,28193,173,168,163,157,150,142,133,123,113,102,89.4,1615,1498,1384,1252,1120,987,847,687,501,278,8,2,4,1,Intel Xeon L5430,2666,2.66 Ghz 2 x 6MB L2 Cache 1333 Mhz System Bus,1 2 chips,32 KB I + 32 KB D on chip per core,12 MB I+D on chip per chip 6 MB shared / 2 cores,None,None,8.00,Windows Server 2003 R2 Enterprise x64 Edition,Service Pack 2 Build 3790,NTFS,2 x 4096 MB,DDR2-667 CL5 DIMM, Slots A1 and B1 are populated,2,1,2,2,1000,Oracle Corporation,BEA JRockit(R),4,start /affinity,64,"-Xms1700m -Xns1300m -Xmx1700m -XXaggressive -XXthroughputcompaction -XXlazyunlocking -XXcallprofiling -Xgc:genpar -XXgcthreads=2 -XXtlasize:min=4k,preferred=512k",1700,1700,Single Supplier,Server,Line-powered,"1 x Hitachi (3.5""  SATA  80 GB  7.2K RPM)",Integrated ICH-9R SATA controller,Enabled (Server Balanced Power and Performance),FSP FSP460-701UG,1,460,2008/10/01,2008/09/01,9016,ASUSTeK Company Inc.,ASUSTeK Company Inc.,2008/10/01,2008/11/01,Apr-2009,http://www.spec.org/power_ssj2008/results/res2008q4/power_ssj2008-20081103-00093.html,<A HREF=
power_ssj2008,1.1,ASUSTeK Computer Inc.,ASUS RS160-E5 (Intel Xeon L5430 Processor 2.66 Ghz),1,--,Single Node,1020,278927,252327,226095,196907,168211,140335,112784,84723,56512,28193,173,168,163,157,150,142,133,123,113,102,89.4,1615,1498,1384,1252,1120,987,847,687,501,278,8,2,4,1,Intel Xeon L5430,2666,2.66 Ghz 2 x 6MB L2 Cache 1333 Mhz System Bus,1 2 chips,32 KB I + 32 KB D on chip per core,12 MB I+D on chip per chip 6 MB shared / 2 cores,None,None,8.00,Windows Server 2003 R2 Enterprise x64 Edition,Service Pack 2 Build 3790,NTFS,2 x 4096 MB,DDR2-667 CL5 DIMM, Slots A1 and B1 are populated,2,1,2,2,1000,Oracle Corporation,BEA JRockit(R),4,start /affinity,64,"-Xms1700m -Xns1300m -Xmx1700m -XXaggressive -XXthroughputcompaction -XXlazyunlocking -XXcallprofiling -Xgc:genpar -XXgcthreads=2 -XXtlasize:min=4k,preferred=512k",1700,1700,Single Supplier,Server,Line-powered,"1 x Hitachi (3.5""  SATA  80 GB  7.2K RPM)",Integrated ICH-9R SATA controller,Enabled (Server Balanced Power and Performance),FSP FSP460-701UG,1,460,2008/10/01,2008/09/01,9016,ASUSTeK Company Inc.,ASUSTeK Company Inc.,2008/10/01,2008/11/01,Apr-2009,http://www.spec.org/power_ssj2008/results/res2008q4/power_ssj2008-20081103-00093.html,<A HREF=
power_ssj2008,1.1,ASUSTeK Computer Inc.,ASUS RS160-E5 (Intel Xeon L5430 Processor 2.66 Ghz),1,--,Single Node,1020,278927,252327,226095,196907,168211,140335,112784,84723,56512,28193,173,168,163,157,150,142,133,123,113,102,89.4,1615,1498,1384,1252,1120,987,847,687,501,278,8,2,4,1,Intel Xeon L5430,2666,2.66 Ghz 2 x 6MB L2 Cache 1333 Mhz System Bus,1 2 chips,32 KB I + 32 KB D on chip per core,12 MB I+D on chip per chip 6 MB shared / 2 cores,None,None,8.00,Windows Server 2003 R2 Enterprise x64 Edition,Service Pack 2 Build 3790,NTFS,2 x 4096 MB,DDR2-667 CL5 DIMM, Slots A1 and B1 are populated,2,1,2,2,1000,Oracle Corporation,BEA JRockit(R),4,start /affinity,64,"-Xms1700m -Xns1300m -Xmx1700m -XXaggressive -XXthroughputcompaction -XXlazyunlocking -XXcallprofiling -Xgc:genpar -XXgcthreads=2 -XXtlasize:min=4k,preferred=512k",1700,1700,Single Supplier,Server,Line-powered,"1 x Hitachi (3.5""  SATA  80 GB  7.2K RPM)",Integrated ICH-9R SATA controller,Enabled (Server Balanced Power and Performance),FSP FSP460-701UG,1,460,2008/10/01,2008/09/01,9016,ASUSTeK Company Inc.,ASUSTeK Company Inc.,2008/10/01,2008/11/01,Apr-2009,http://www.spec.org/power_ssj2008/results/res2008q4/power_ssj2008-20081103-00093.html,<A HREF=
power_ssj2008,1.1,ASUSTeK Computer Inc.,ASUS RS160-E5 (Intel Xeon L5430 Processor 2.66 Ghz),1,--,Single Node,1020,278927,252327,226095,196907,168211,140335,112784,84723,56512,28193,173,168,163,157,150,142,133,123,113,102,89.4,1615,1498,1384,1252,1120,987,847,687,501,278,8,2,4,1,Intel Xeon L5430,2666,2.66 Ghz 2 x 6MB L2 Cache 1333 Mhz System Bus,1 2 chips,32 KB I + 32 KB D on chip per core,12 MB I+D on chip per chip 6 MB shared / 2 cores,None,None,8.00,Windows Server 2003 R2 Enterprise x64 Edition,Service Pack 2 Build 3790,NTFS,2 x 4096 MB,DDR2-667 CL5 DIMM, Slots A1 and B1 are populated,2,1,2,2,1000,Oracle Corporation,BEA JRockit(R),4,start /affinity,64,"-Xms1700m -Xns1300m -Xmx1700m -XXaggressive -XXthroughputcompaction -XXlazyunlocking -XXcallprofiling -Xgc:genpar -XXgcthreads=2 -XXtlasize:min=4k,preferred=512k",1700,1700,Single Supplier,Server,Line-powered,"1 x Hitachi (3.5""  SATA  80 GB  7.2K RPM)",Integrated ICH-9R SATA controller,Enabled (Server Balanced Power and Performance),FSP FSP460-701UG,1,460,2008/10/01,2008/09/01,9016,ASUSTeK Company Inc.,ASUSTeK Company Inc.,2008/10/01,2008/11/01,Apr-2009,http://www.spec.org/power_ssj2008/results/res2008q4/power_ssj2008-20081103-00093.html,<A HREF=
power_ssj2008,1.1,ASUSTeK Computer Inc.,ASUS RS160-E5 (Intel Xeon L5430 Processor 2.66 Ghz),1,--,Single Node,1020,278927,252327,226095,196907,168211,140335,112784,84723,56512,28193,173,168,163,157,150,142,133,123,113,102,89.4,1615,1498,1384,1252,1120,987,847,687,501,278,8,2,4,1,Intel Xeon L5430,2666,2.66 Ghz 2 x 6MB L2 Cache 1333 Mhz System Bus,1 2 chips,32 KB I + 32 KB D on chip per core,12 MB I+D on chip per chip 6 MB shared / 2 cores,None,None,8.00,Windows Server 2003 R2 Enterprise x64 Edition,Service Pack 2 Build 3790,NTFS,2 x 4096 MB,DDR2-667 CL5 DIMM, Slots A1 and B1 are populated,2,1,2,2,1000,Oracle Corporation,BEA JRockit(R),4,start /affinity,64,"-Xms1700m -Xns1300m -Xmx1700m -XXaggressive -XXthroughputcompaction -XXlazyunlocking -XXcallprofiling -Xgc:genpar -XXgcthreads=2 -XXtlasize:min=4k,preferred=512k",1700,1700,Single Supplier,Server,Line-powered,"1 x Hitachi (3.5""  SATA  80 GB  7.2K RPM)",Integrated ICH-9R SATA controller,Enabled (Server Balanced Power and Performance),FSP FSP460-701UG,1,460,2008/10/01,2008/09/01,9016,ASUSTeK Company Inc.,ASUSTeK Company Inc.,2008/10/01,2008/11/01,Apr-2009,http://www.spec.org/power_ssj2008/results/res2008q4/power_ssj2008-20081103-00093.html,<A HREF=
power_ssj2008,1.1,ASUSTeK Computer Inc.,ASUS RS160-E5 (Intel Xeon L5430 Processor 2.66 Ghz),1,--,Single Node,1020,278927,252327,226095,196907,168211,140335,112784,84723,56512,28193,173,168,163,157,150,142,133,123,113,102,89.4,1615,1498,1384,1252,1120,987,847,687,501,278,8,2,4,1,Intel Xeon L5430,2666,2.66 Ghz 2 x 6MB L2 Cache 1333 Mhz System Bus,1 2 chips,32 KB I + 32 KB D on chip per core,12 MB I+D on chip per chip 6 MB shared / 2 cores,None,None,8.00,Windows Server 2003 R2 Enterprise x64 Edition,Service Pack 2 Build 3790,NTFS,2 x 4096 MB,DDR2-667 CL5 DIMM, Slots A1 and B1 are populated,2,1,2,2,1000,Oracle Corporation,BEA JRockit(R),4,start /affinity,64,"-Xms1700m -Xns1300m -Xmx1700m -XXaggressive -XXthroughputcompaction -XXlazyunlocking -XXcallprofiling -Xgc:genpar -XXgcthreads=2 -XXtlasize:min=4k,preferred=512k",1700,1700,Single Supplier,Server,Line-powered,"1 x Hitachi (3.5""  SATA  80 GB  7.2K RPM)",Integrated ICH-9R SATA controller,Enabled (Server Balanced Power and Performance),FSP FSP460-701UG,1,460,2008/10/01,2008/09/01,9016,ASUSTeK Company Inc.,ASUSTeK Company Inc.,2008/10/01,2008/11/01,Apr-2009,http://www.spec.org/power_ssj2008/results/res2008q4/power_ssj2008-20081103-00093.html,<A HREF=
power_ssj2008,1.1,ASUSTeK Computer Inc.,ASUS RS160-E5 (Intel Xeon L5430 Processor 2.66 Ghz),1,--,Single Node,1020,278927,252327,226095,196907,168211,140335,112784,84723,56512,28193,173,168,163,157,150,142,133,123,113,102,89.4,1615,1498,1384,1252,1120,987,847,687,501,278,8,2,4,1,Intel Xeon L5430,2666,2.66 Ghz 2 x 6MB L2 Cache 1333 Mhz System Bus,1 2 chips,32 KB I + 32 KB D on chip per core,12 MB I+D on chip per chip 6 MB shared / 2 cores,None,None,8.00,Windows Server 2003 R2 Enterprise x64 Edition,Service Pack 2 Build 3790,NTFS,2 x 4096 MB,DDR2-667 CL5 DIMM, Slots A1 and B1 are populated,2,1,2,2,1000,Oracle Corporation,BEA JRockit(R),4,start /affinity,64,"-Xms1700m -Xns1300m -Xmx1700m -XXaggressive -XXthroughputcompaction -XXlazyunlocking -XXcallprofiling -Xgc:genpar -XXgcthreads=2 -XXtlasize:min=4k,preferred=512k",1700,1700,Single Supplier,Server,Line-powered,"1 x Hitachi (3.5""  SATA  80 GB  7.2K RPM)",Integrated ICH-9R SATA controller,Enabled (Server Balanced Power and Performance),FSP FSP460-701UG,1,460,2008/10/01,2008/09/01,9016,ASUSTeK Company Inc.,ASUSTeK Company Inc.,2008/10/01,2008/11/01,Apr-2009,http://www.spec.org/power_ssj2008/results/res2008q4/power_ssj2008-20081103-00093.html,<A HREF=
power_ssj2008,1.1,ASUSTeK Computer Inc.,ASUS RS160-E5 (Intel Xeon L5430 Processor 2.66 Ghz),1,--,Single Node,1020,278927,252327,226095,196907,168211,140335,112784,84723,56512,28193,173,168,163,157,150,142,133,123,113,102,89.4,1615,1498,1384,1252,1120,987,847,687,501,278,8,2,4,1,Intel Xeon L5430,2666,2.66 Ghz 2 x 6MB L2 Cache 1333 Mhz System Bus,1 2 chips,32 KB I + 32 KB D on chip per core,12 MB I+D on chip per chip 6 MB shared / 2 cores,None,None,8.00,Windows Server 2003 R2 Enterprise x64 Edition,Service Pack 2 Build 3790,NTFS,2 x 4096 MB,DDR2-667 CL5 DIMM, Slots A1 and B1 are populated,2,1,2,2,1000,Oracle Corporation,BEA JRockit(R),4,start /affinity,64,"-Xms1700m -Xns1300m -Xmx1700m -XXaggressive -XXthroughputcompaction -XXlazyunlocking -XXcallprofiling -Xgc:genpar -XXgcthreads=2 -XXtlasize:min=4k,preferred=512k",1700,1700,Single Supplier,Server,Line-powered,"1 x Hitachi (3.5""  SATA  80 GB  7.2K RPM)",Integrated ICH-9R SATA controller,Enabled (Server Balanced Power and Performance),FSP FSP460-701UG,1,460,2008/10/01,2008/09/01,9016,ASUSTeK Company Inc.,ASUSTeK Company Inc.,2008/10/01,2008/11/01,Apr-2009,http://www.spec.org/power_ssj2008/results/res2008q4/power_ssj2008-20081103-00093.html,<A HREF=
